word,freq,doc_freq,tfidf_top_k_mean,token_count,expected_cost,positive_residual,RIF
statoids,3,3,0.22134184639248136,3,2.952341273448291,0.04765872655170922,0.010548870531669695
connexion,3,3,0.19335506073208708,4,3.0976119846972634,0.9023880153027366,0.17448128950276817
lamson,3,3,0.17436576284215358,2,2.681918907416703,0.0,0.0
hydric,3,3,0.16078449951168225,2,2.681918907416703,0.0,0.0
buah,3,3,0.15690635248863588,2,2.4362661222963053,0.0,0.0
çivril,3,3,0.1568851240579804,3,3.342194846308477,0.0,0.0
hnoms,3,3,0.15112888880027617,2,2.55614322307754,0.0,0.0
futbol,3,3,0.1487431854545744,3,2.681918907416703,0.31808109258329686,0.04731239494371098
republica,3,3,0.14349278450382394,3,3.0976119846972634,0.0,0.0
monotowns,3,3,0.1379497262835156,3,3.0976119846972634,0.0,0.0
tribuna,3,3,0.12408695112412842,3,2.8138834166339723,0.18611658336602765,0.023094639383530045
holcroft,3,3,0.12321437971085115,3,2.952341273448291,0.04765872655170922,0.005872240429877923
nayarit,3,3,0.12059183557581488,4,2.8138834166339723,1.1861165833660277,0.14303597599502332
chivasso,3,3,0.11907591105486319,4,2.952341273448291,1.0476587265517092,0.12475091733872257
dipyramidal,3,3,0.11806530722624531,4,3.4099493785062718,0.5900506214937282,0.069664507905694
chryssee,3,3,0.11592264915887178,3,2.952341273448291,0.04765872655170922,0.005524725837412395
maccasler,3,3,0.11592264915887178,4,3.0976119846972634,0.9023880153027366,0.10460720930310975
bjerka,3,3,0.11541252390344614,4,2.681918907416703,1.3180810925832969,0.15212306560445016
starflyer,3,3,0.11383892740252588,3,3.0976119846972634,0.0,0.0
klugman,3,3,0.11153592221325265,4,2.8138834166339723,1.1861165833660277,0.13229460697816225
mundy,3,3,0.11129594189451814,2,2.55614322307754,0.0,0.0
charlotta,3,3,0.11090599819094289,3,3.0976119846972634,0.0,0.0
kurudere,3,3,0.10762529584873615,4,2.952341273448291,1.0476587265517092,0.11275458039363787
broogh,3,3,0.10432175107929793,3,2.681918907416703,0.31808109258329686,0.033182776563505816
subdistrict,3,3,0.10319362823896992,2,3.4099493785062718,0.0,0.0
changsha,3,3,0.10302406963375688,3,2.952341273448291,0.04765872655170922,0.0049099959629194685
fryston,3,3,0.09956011213854658,3,2.8138834166339723,0.18611658336602765,0.01852978791076487
langnau,3,3,0.09929855052645559,3,2.8138834166339723,0.18611658336602765,0.01848110695718278
viscera,3,3,0.09928137832714534,3,2.8138834166339723,0.18611658336602765,0.018477910926118276
damion,3,3,0.09601481887802234,2,2.681918907416703,0.0,0.0
edina,3,3,0.09574437548830506,2,2.55614322307754,0.0,0.0
bünde,3,3,0.0939363003759535,4,3.185453774523357,0.8145462254766431,0.0765154589064731
werth,3,3,0.09288629248526818,2,2.55614322307754,0.0,0.0
erenler,3,3,0.09156756321313299,2,2.8138834166339723,0.0,0.0
osservatore,3,3,0.09107307825026335,4,3.4099493785062718,0.5900506214937282,0.053737726422914835
vivica,3,3,0.09047125824134677,3,2.681918907416703,0.31808109258329686,0.028777196668793182
piccolomini,3,3,0.08649418822894973,4,3.4099493785062718,0.5900506214937282,0.051035949520087304
kınık,3,3,0.08379763673973352,3,3.185453774523357,0.0,0.0
somaliland,3,3,0.08346610855830995,4,3.2500307786345672,0.7499692213654328,0.0625970124458784
bocholt,3,3,0.0831931793544993,3,2.8138834166339723,0.18611658336602765,0.015483630300816559
yaylaköy,3,3,0.0823385673383528,5,3.679193938852959,1.320806061147041,0.10875327880666016
ident,3,3,0.08203047738341107,1,2.55614322307754,0.0,0.0
linhart,3,3,0.0815753488516866,2,2.8138834166339723,0.0,0.0
bonet,3,3,0.08127720749688763,2,2.55614322307754,0.0,0.0
rebus,3,3,0.07998588644268445,2,2.55614322307754,0.0,0.0
nanatsuboshi,3,3,0.07973497314759727,4,3.5777368141911774,0.4222631858088226,0.03366914378168535
pretreatment,3,3,0.07870451192059112,3,3.5777368141911774,0.0,0.0
örencik,3,3,0.07807814018096008,4,3.506648402820526,0.49335159717947397,0.03851997516307952
havlíčkův,3,3,0.07692107019926248,9,3.8602296223380916,5.139770377661908,0.39535663802822146
auntie,3,3,0.07683500497774022,3,2.681918907416703,0.31808109258329686,0.024439762331962663
janina,3,3,0.07674935881204277,2,2.681918907416703,0.0,0.0
yusaku,3,3,0.07668207376976627,3,2.681918907416703,0.31808109258329686,0.024391117806240224
janjaweed,3,3,0.0765946613112442,3,3.0976119846972634,0.0,0.0
roermond,3,3,0.07654106011880889,3,2.952341273448291,0.04765872655170922,0.003647849454180249
aurichalcite,3,3,0.07621768534859359,4,3.5777368141911774,0.4222631858088226,0.032183922630271554
sklar,3,3,0.07615561757363225,2,2.55614322307754,0.0,0.0
akim,3,3,0.07595190299933478,2,2.4362661222963053,0.0,0.0
peyniri,3,3,0.07501603338070954,3,2.8138834166339723,0.18611658336602765,0.013961727830489542
paphlagonia,3,3,0.07359824322840994,4,3.4099493785062718,0.5900506214937282,0.04342668915776986
kayacık,3,3,0.07203857955223686,4,3.506648402820526,0.49335159717947397,0.03554034828063665
kachhi,3,3,0.07068304742168614,3,2.681918907416703,0.31808109258329686,0.022482940951006912
söğütçük,3,3,0.07049863786400402,7,3.679193938852959,3.320806061147041,0.23411230392139484
diphone,3,3,0.07007093040397165,3,2.8138834166339723,0.18611658336602765,0.013041362160065911
perryville,3,3,0.06978797989641412,3,3.2500307786345672,0.0,0.0
fitt,3,3,0.06909261189512317,2,2.4362661222963053,0.0,0.0
zaballa,3,3,0.068988868406991,3,2.8138834166339723,0.18611658336602765,0.012839972478197653
siskin,3,3,0.06892576670917931,2,2.681918907416703,0.0,0.0
dedeler,3,3,0.06889252090562659,2,2.8138834166339723,0.0,0.0
cjpg,3,3,0.06882500739203111,4,2.4362661222963053,1.5637338777036947,0.10762399569212626
questo,3,3,0.06868953016420759,2,2.681918907416703,0.0,0.0
cilt,3,3,0.06862526837787157,2,2.4362661222963053,0.0,0.0
sarıkaya,3,3,0.06849718498239166,4,3.679193938852959,0.3208060611470409,0.02197431211386131
educationalist,3,3,0.06843119173426059,4,3.9384859970454107,0.06151400295458931,0.004209476530527373
antifreeze,3,3,0.067283407328749,4,3.2500307786345672,0.7499692213654328,0.05046048460515514
gente,3,3,0.06710775605567156,2,2.55614322307754,0.0,0.0
vasyl,3,3,0.06647082906457302,2,2.55614322307754,0.0,0.0
eggegebirge,3,3,0.06612850290006965,5,3.4099493785062718,1.5900506214937282,0.10514766713470555
karacalar,3,3,0.06581446129658693,3,3.0976119846972634,0.0,0.0
çınar,3,3,0.06518708244374483,2,3.185453774523357,0.0,0.0
optimisation,3,3,0.06408058886056268,3,3.5777368141911774,0.0,0.0
mathcore,3,3,0.0638555792330794,2,2.952341273448291,0.0,0.0
cfam,3,3,0.0633732277658768,2,2.4362661222963053,0.0,0.0
siderite,3,3,0.06320903382355474,3,2.952341273448291,0.04765872655170922,0.003012462058594534
kaymakam,3,3,0.06235890314806711,4,2.952341273448291,1.0476587265517092,0.06533084906126535
hearer,3,3,0.06229230599068703,2,2.681918907416703,0.0,0.0
tuggerah,3,3,0.062132016029157265,3,2.952341273448291,0.04765872655170922,0.00296113276204002
geldern,3,3,0.06191302890735221,3,2.8138834166339723,0.18611658336602765,0.011523041406078497
fahim,3,3,0.06188263716968387,2,2.55614322307754,0.0,0.0
doğanlar,3,3,0.061065878778833536,4,3.679193938852959,0.3208060611470409,0.01959030404152026
akçaköy,3,3,0.06073770362507824,4,3.506648402820526,0.49335159717947397,0.029965043092445878
southeastwardly,3,3,0.06072157835585828,4,4.132280212904014,0.0,0.0
çamlık,3,3,0.060321183659226923,4,3.342194846308477,0.6578051536915228,0.03967958548781234
torun,3,3,0.05940576600063071,2,2.55614322307754,0.0,0.0
turntablist,3,3,0.059198532364451974,4,3.4099493785062718,0.5900506214937282,0.03493013081316147
soğucak,3,3,0.059101386357074404,4,3.506648402820526,0.49335159717947397,0.02915776335478383
jinghu,3,3,0.05830085425771705,3,2.681918907416703,0.31808109258329686,0.018544399420834193
flix,3,3,0.05805075297828429,1,2.4362661222963053,0.0,0.0
voilà,3,3,0.057970928241656346,3,3.185453774523357,0.0,0.0
urft,3,3,0.057889499952309374,2,2.4362661222963053,0.0,0.0
lvr,3,3,0.057692161087269093,3,2.322010975387597,0.677989024612403,0.0391146520233392
alanköy,3,3,0.05766132437085084,3,3.506648402820526,0.0,0.0
uralensis,3,3,0.05735317783065416,2,3.0976119846972634,0.0,0.0
gündoğan,3,3,0.05721283558678567,6,3.679193938852959,2.320806061147041,0.1327798956052213
yazlık,3,3,0.05707119147915371,4,3.342194846308477,0.6578051536915228,0.037541723882303035
epps,3,3,0.056897852520990645,3,2.4362661222963053,0.5637338777036947,0.032075247034670996
yanni,3,3,0.05668435956721996,2,2.55614322307754,0.0,0.0
capitaine,3,3,0.05664274376255363,3,3.0976119846972634,0.0,0.0
sobeys,3,3,0.0566125022482609,3,2.681918907416703,0.31808109258329686,0.018007366569001176
oglethorpe,3,3,0.05659671290816978,3,3.2500307786345672,0.0,0.0
dimerization,3,3,0.05637553810920296,3,3.5777368141911774,0.0,0.0
hazari,3,3,0.05587509164104881,2,2.681918907416703,0.0,0.0
gökçeli,3,3,0.05484559212581391,5,3.506648402820526,1.493351597179474,0.08190375259933819
gülpınar,3,3,0.0547062649591859,4,3.679193938852959,0.3208060611470409,0.017550101381622815
emirler,3,3,0.0546725973140823,3,2.8138834166339723,0.18611658336602765,0.010175477015843658
tekke,3,3,0.054346417115329365,3,2.55614322307754,0.44385677692245995,0.024122025538093707
chenab,3,3,0.05428169366042177,2,2.681918907416703,0.0,0.0
fevzi,3,3,0.0540298105788215,3,2.55614322307754,0.44385677692245995,0.023981497581246743
bayındır,3,3,0.05378271982582258,5,3.679193938852959,1.320806061147041,0.07103654233091958
kildall,3,3,0.05358413356528816,3,2.8138834166339723,0.18611658336602765,0.009972895861800314
cronenberg,3,3,0.05301848962637742,3,3.2500307786345672,0.0,0.0
pyxicephalidae,3,3,0.05298591605747973,5,3.9384859970454107,1.0615140029545893,0.05624529185439116
nación,3,3,0.05294403371350082,2,3.342194846308477,0.0,0.0
humorless,3,3,0.05269963844746484,3,3.0976119846972634,0.0,0.0
aydınlar,3,3,0.05264891782076566,3,3.679193938852959,0.0,0.0
bilthoven,3,3,0.052510136621849224,3,3.0976119846972634,0.0,0.0
fais,3,3,0.05207017760322519,2,2.4362661222963053,0.0,0.0
jō,3,3,0.05198257669468163,2,2.7579725119868534,0.0,0.0
southwardly,3,3,0.051847581583163105,3,3.4099493785062718,0.0,0.0
murwillumbah,3,3,0.05171081160698084,5,3.5777368141911774,1.4222631858088226,0.07354638365690441
marmorata,3,3,0.051511915815933985,4,3.0976119846972634,0.9023880153027366,0.04648373547758232
beauport,3,3,0.05139445181810862,4,2.952341273448291,1.0476587265517092,0.05384384594358286
amerongen,3,3,0.051313444543499474,3,3.0976119846972634,0.0,0.0
schwenk,3,3,0.05111674311344741,4,2.8138834166339723,1.1861165833660277,0.06063041669452116
liste,3,3,0.05108505153745537,2,2.55614322307754,0.0,0.0
eddas,3,3,0.05074496593653666,2,2.55614322307754,0.0,0.0
tico,3,3,0.05052461630972532,1,2.4362661222963053,0.0,0.0
demonaz,3,3,0.05047878321852267,3,2.8138834166339723,0.18611658336602765,0.009394938665105813
steinfurt,3,3,0.05040583527187086,2,3.0976119846972634,0.0,0.0
toffee,3,3,0.050338350862644175,3,2.681918907416703,0.31808109258329686,0.016011677641231202
güzelyurt,3,3,0.05023092444582169,5,3.8602296223380916,1.1397703776619084,0.05725171972592097
roboticists,3,3,0.05009151391948116,3,3.4099493785062718,0.0,0.0
futari,3,3,0.049977199863133204,3,2.681918907416703,0.31808109258329686,0.015896802336719203
trabajadores,3,3,0.049957815862247595,5,3.5777368141911774,1.4222631858088226,0.0710531623442908
šmíd,3,3,0.049954195686427116,4,3.0360634900843073,0.9639365099156927,0.048152673045620105
administrated,3,3,0.04986879928898718,4,3.75378027377813,0.24621972622187016,0.012278682107947816
cantinflas,3,3,0.04966170841500452,5,3.2500307786345672,1.7499692213654328,0.08690646120668262
jenn,3,3,0.04957554372606112,2,2.4362661222963053,0.0,0.0
elke,3,3,0.04945483032258071,2,2.4362661222963053,0.0,0.0
melli,3,3,0.04942156071598036,2,2.55614322307754,0.0,0.0
tommie,3,3,0.049194918810079535,3,2.681918907416703,0.31808109258329686,0.01564797352465668
lynwood,3,3,0.04902987998832504,2,2.8138834166339723,0.0,0.0
floatplane,3,3,0.04898619827157379,4,3.2500307786345672,0.7499692213654328,0.03673814097538491
nilson,3,3,0.04864355207743859,3,2.681918907416703,0.31808109258329686,0.015472594191924167
superiorly,3,3,0.048608516165999927,3,3.2500307786345672,0.0,0.0
taiz,3,3,0.0482386368484684,2,2.4362661222963053,0.0,0.0
refunding,3,3,0.04817048290240178,4,3.0976119846972634,0.9023880153027366,0.043468466462472745
greystanes,3,3,0.04816434374348347,4,3.2500307786345672,0.7499692213654328,0.036121775374877346
inder,3,3,0.047906271361905756,1,2.55614322307754,0.0,0.0
tadeo,3,3,0.04777705447549299,3,2.55614322307754,0.44385677692245995,0.02120616941034111
nissim,3,3,0.04776636271975452,3,2.681918907416703,0.31808109258329686,0.015193576842629578
docomo,3,3,0.047689294488427576,3,2.681918907416703,0.31808109258329686,0.01516906289540564
şebinkarahisar,3,3,0.0474530692399339,6,4.908122898563855,1.091877101436145,0.05181291969594772
bolaño,3,3,0.04717983086673131,3,3.342194846308477,0.0,0.0
huset,3,3,0.04688445236698164,2,2.55614322307754,0.0,0.0
matanza,3,3,0.046460307839074226,2,2.8138834166339723,0.0,0.0
linea,3,3,0.04617090567470373,2,2.55614322307754,0.0,0.0
oldendorf,3,3,0.0459420653701561,2,3.0976119846972634,0.0,0.0
higueras,3,3,0.045894363153251926,4,2.952341273448291,1.0476587265517092,0.0480816300570376
submariner,3,3,0.04559460508437189,3,3.2500307786345672,0.0,0.0
sobibor,3,3,0.04551332155162974,4,2.8138834166339723,1.1861165833660277,0.05398410545645846
steud,3,3,0.045396886790451396,2,2.55614322307754,0.0,0.0
hanako,3,3,0.0453399845169667,2,2.681918907416703,0.0,0.0
darıca,3,3,0.04533791380481301,3,3.342194846308477,0.0,0.0
çamlı,3,3,0.04513851027094723,3,3.185453774523357,0.0,0.0
vigía,3,3,0.04480344748525311,2,3.185453774523357,0.0,0.0
litoralis,3,3,0.04472634301619982,3,3.0976119846972634,0.0,0.0
bhagalpur,3,3,0.04471976433169908,5,3.0976119846972634,1.9023880153027366,0.08507434371178713
reinstituted,3,3,0.04432251618396283,4,3.5777368141911774,0.4222631858088226,0.018715766886903244
gladesville,3,3,0.04419377616220533,3,3.4099493785062718,0.0,0.0
