word,freq,doc_freq,tfidf_top_k_mean,token_count,expected_cost,positive_residual,RIF
владимир,3,3,0.020357411224679583,12,3.679193938852959,8.32080606114704,0.16939007070757667
havlíčkův,3,3,0.07692107019926248,9,3.8602296223380916,5.139770377661908,0.39535663802822146
περὶ,4,3,0.03282546696091509,9,3.016880893755102,5.983119106244898,0.1963986785452617
götterdämmerung,5,4,0.026264508567251654,9,5.076642283769241,3.9233577162307594,0.10304506235033567
székesfehérvár,9,7,0.014986541535198326,9,4.741243383039234,4.258756616960766,0.06382403292838322
laṅkāvatāra,14,3,0.007723889379867989,9,4.092879502651615,4.907120497348385,0.03790205589520171
kapitänleutnant,3,3,0.006551089004934114,9,5.149628347403432,3.850371652596568,0.02522412739823537
eyjafjallajökull,3,3,0.005311767509742361,9,5.4030171339312885,3.5969828660687115,0.019106336721083743
mahāsāṃghika,7,3,0.0016898776144458909,9,4.3716349900184,4.6283650099816,0.007821370421852538
hochsauerlandkreis,8,8,0.06398834770865205,8,4.617592235656302,3.3824077643436983,0.21643468411726902
hüdavendigâr,3,3,0.00917258876676566,8,4.458558947763131,3.541441052236869,0.03248418241391066
bibhutibhushan,4,4,0.008730345600651048,8,3.902825094528406,4.097174905471594,0.0357697529110818
dehydroepiandrosterone,4,3,0.008429692125679697,8,5.747252590442104,2.2527474095578963,0.018989967099495533
ethylenediaminetetraacetic,3,3,0.005603690027755068,8,7.008979684806886,0.9910203151931141,0.005553370657550337
история,3,3,0.004085541185658318,8,3.506648402820526,4.493351597179474,0.01835777301192033
sicherheitsdienst,4,4,0.0032019172440326876,8,4.507756649000731,3.492243350999269,0.011181874205923058
sarvāstivāda,16,4,0.0031759612342167525,8,4.267247965397612,3.732752034602388,0.011855075758840894
gesamtkunstwerk,3,3,0.0018400966272605925,8,4.132280212904014,3.867719787095986,0.00711697813542438
tetraalkylammonium,3,3,0.0011387219708208524,8,4.772776938266315,3.2272230617336852,0.0036749098051358873
kızılırmak,11,7,0.1489292467482989,7,3.892255227793334,3.107744772206666,0.4628340880107025
phosphatidylserine,31,3,0.11001637657167779,7,4.499034036693125,2.500965963306875,0.27514721321211805
dâmbovița,8,3,0.08740015740604919,7,3.7723289403670313,3.2276710596329687,0.282098958666871
söğütçük,3,3,0.07049863786400402,7,3.679193938852959,3.320806061147041,0.23411230392139484
gümüşlü,4,3,0.06418443734529464,7,3.4844925351980436,3.5155074648019564,0.22564086861149676
speedskatingstats,11,6,0.0640932731733336,7,4.378798985531671,2.621201014468329,0.16800135266253777
enciclopédia,6,6,0.05343205472493494,7,4.35800645064919,2.6419935493508104,0.1411671439118376
hamengkubuwono,10,3,0.033213936366496936,7,3.8269277325769804,3.1730722674230196,0.10539022037648432
književnosti,4,4,0.03203582092227327,7,4.418189060420184,2.5818109395798157,0.08271043291554507
reichsstatthalter,10,3,0.03196737259868366,7,4.420095319145647,2.5799046808543533,0.08247277420195917
premonstratensian,10,5,0.030321957263723297,7,4.398004279524009,2.6019957204759914,0.07889760303666392
bydgoszcz,3,3,0.030275730744533175,7,3.0976119846972634,3.9023880153027366,0.11814764881199886
rhabdodendraceae,3,3,0.02880224664309357,7,4.335610122968063,2.6643898770319367,0.07674041439163559
speedskatingresults,3,3,0.023831035755545068,7,5.007622654339249,1.992377345660751,0.04748041576297933
skáldskaparmál,18,5,0.0219760380094353,7,4.672166040549964,2.327833959450036,0.05115656757252826
premonstratensians,4,3,0.01980254746191076,7,4.7426213589528015,2.2573786410471985,0.044701847678840764
brueggergosman,6,3,0.019196037193234677,7,3.876376221871315,3.123623778128685,0.059961198222630456
doppelgänger,12,5,0.018557622466695706,7,4.290211595971389,2.709788404028611,0.05028723016659285
budějovice,11,6,0.018552915128032716,7,3.898683016876481,3.101316983123519,0.057538470773017124
jyväskylä,29,5,0.01842596225259695,7,3.627282962626196,3.372717037373804,0.06214555681934033
hämeenlinna,5,4,0.016882415372328402,7,4.189235073260432,2.8107649267395676,0.04745250100718959
krzysztof,17,16,0.013189244035120146,7,2.915464193005413,4.084535806994587,0.05387193952863801
arbeitsgemeinschaft,5,3,0.011884475495509658,7,4.950280447820177,2.0497195521798233,0.024359841790548138
obersturmbannführer,4,3,0.011774841534511556,7,6.201047156035562,0.7989528439644378,0.009407543131228593
generalfeldmarschall,5,4,0.011224046225451586,7,5.179558343092427,1.8204416569075734,0.02043272130786828
bundesgerichtshof,3,3,0.01095315776578505,7,4.548944933522053,2.451055066477947,0.026846792835759716
azərbaycan,3,3,0.009566710451736987,7,4.0501732131636965,2.9498267868363035,0.028220138752440598
regierungsbezirk,4,4,0.009511731321192585,7,4.296353472046139,2.703646527953861,0.025716359361372326
trochodendraceae,3,3,0.008938125251831361,7,4.335610122968063,2.6643898770319367,0.02381465044062301
gastroesophageal,6,4,0.008689925059580961,7,4.255487356758547,2.7445126432414533,0.023849609194840686
krasznahorkai,3,3,0.008004212231246158,7,3.75378027377813,3.24621972622187,0.02598343163793765
gjirokastër,10,3,0.00753521140127074,7,4.129096287139978,2.870903712860022,0.021632866389093335
