word,freq,doc_freq,tfidf_top_k_mean,token_count,expected_cost,positive_residual,RIF
περὶ,4,3,0.03282546696091509,9,3.016880893755102,5.983119106244898,0.1963986785452617
عبد,4,3,0.006407547727324349,6,2.875396280654965,3.124603719345035,0.02002104746067849
του,3,3,0.005478988748837281,6,2.893679258366309,3.106320741633691,0.017019496393690874
βίος,4,3,0.0034463315952923696,7,3.016880893755102,3.983119106244898,0.013727149223664498
nhị,12,3,0.11946850499783924,5,2.798405064700494,2.201594935299506,0.2630212555310466
και,7,3,0.00944967425788254,5,2.837264157315053,2.162735842684947,0.020437149219219845
hải,4,3,0.0043102638874598555,5,2.875396280654965,2.124603719345035,0.009157602686655799
lợi,3,3,0.003109183218042995,5,2.893679258366309,2.106320741633691,0.0065489371017033475
владимир,3,3,0.020357411224679583,12,3.679193938852959,8.32080606114704,0.16939007070757667
μm,48,24,0.019887379650983323,3,2.5110022973261716,0.48899770267382836,0.009724882961533088
во,3,3,0.01912206655380687,3,2.7579725119868534,0.24202748801314655,0.004628065733638082
κb,14,4,0.012188478658133297,3,2.6490326126904047,0.3509673873095953,0.004277758509923805
µm,30,11,0.011300411993902795,3,2.5670472477982207,0.4329527522017793,0.004892544473774211
μg,36,9,0.00971218203675707,3,2.5599395571189207,0.44006044288107926,0.004273947128436978
µg,23,9,0.007664908895870372,3,2.5916090933058897,0.40839090669411027,0.0031302790937122525
δg,13,5,0.0074937013313227125,3,2.6482558577201476,0.3517441422798524,0.0026358655472874955
hē,3,3,0.005764554238167917,3,2.7579725119868534,0.24202748801314655,0.0013951805817793185
δh,11,5,0.004904350678045023,3,2.659876880237055,0.34012311976294507,0.0016680830530281883
из,3,3,0.002551028304606529,3,2.7579725119868534,0.24202748801314655,0.0006174189724143543
võ,3,3,0.00190508965618678,3,2.7579725119868534,0.24202748801314655,0.0004610840639267154
più,7,5,0.024289365496517595,4,2.8230838941327616,1.1769161058672384,0.028586545454147547
chữ,4,4,0.015854908971302435,4,2.8674785269112544,1.1325214730887456,0.017956024863867402
rûm,13,10,0.015789648282472136,4,2.757829950155199,1.242170049844801,0.01961342819407029
sơn,6,6,0.0050408090195492705,4,2.8284190075353695,1.1715809924646305,0.005905716033948196
huế,6,6,0.0029244783132184315,4,2.8284190075353695,1.1715809924646305,0.0034262632046417386
bēl,3,3,0.0018064754847746658,4,2.893679258366309,1.106320741633691,0.0019985412980589898
łódź,22,9,0.15254211589677832,5,2.8563763180466144,2.1436236819533856,0.32699289213161203
bình,6,6,0.022201828157187124,5,2.967592091836314,2.032407908163686,0.04512317112235831
đình,5,3,0.004665936948157944,5,3.0012975758630005,1.9987024241369995,0.009325819489153677
đồng,4,4,0.0042329909403015665,5,3.008573544903201,1.991426455096799,0.008429690142701615
trần,4,4,0.0028084411602541616,5,3.008573544903201,1.991426455096799,0.005592804024112886
việt,4,3,0.00228115991337542,5,3.016880893755102,1.983119106244898,0.004523811808614752
الله,5,5,0.002130919314338501,5,2.9862974958019373,2.0137025041980627,0.004291037559527458
nẵng,3,3,0.0020118939107168603,5,3.0360634900843073,1.9639365099156927,0.0039512319053339046
наука,3,3,0.007673267642150456,6,3.185453774523357,2.814546225476643,0.021596766479286628
dương,9,7,0.006920805135620489,6,3.0771461804380347,2.9228538195619653,0.020228501725092413
история,3,3,0.004085541185658318,8,3.506648402820526,4.493351597179474,0.01835777301192033
fm,751,212,0.46484413568228666,2,1.8158291845586076,0.18417081544139235,0.08561072352175596
cr,463,36,0.45358838041700605,2,1.8811570663175532,0.1188429336824468,0.053905773813026706
