word,freq,doc_freq,tfidf_top_k_mean,token_count,IWF
wheatland,12,3,0.7054712444952848,4,2.1164137334858544
gbarpolu,13,6,0.6844271155055487,4,2.053281346516646
polsbroek,43,3,0.6835037898925346,4,2.050511369677604
cairncross,8,3,0.5706992299202829,4,1.7120976897608486
anastasius,43,11,0.5488027816082839,4,1.6464083448248517
leštinka,5,3,0.3882891498604312,5,1.553156599441725
leština,12,3,0.45703564742219793,4,1.3711069422665938
andriessen,24,3,0.4542933001298299,4,1.3628799003894896
göttlich,17,3,0.441437991533108,4,1.324313974599324
coenagrionidae,5,3,0.2531595916372429,6,1.2657979581862144
kwadjokrom,6,3,0.25048291031168984,6,1.2524145515584493
silvestri,48,3,0.41596488821725813,4,1.2478946646517743
zitadelle,7,3,0.4133392985730453,4,1.240017895719136
bangladeshi,234,86,0.30685938690231207,5,1.2274375476092483
afyonkarahisar,46,18,0.303133795259194,5,1.212535181036776
gütersloh,28,13,0.3006899445098547,5,1.2027597780394188
snowboarders,33,11,0.39493921227643536,4,1.184817636829306
çankırı,24,14,0.36349908579770074,4,1.0904972573931022
bangladesh,812,149,0.2644694586232872,5,1.0578778344931488
euskirchen,22,8,0.33665688350160894,4,1.009970650504827
huntingtons,11,4,0.32721214512953545,4,0.9816364353886063
çanakkale,38,15,0.3207117817608563,4,0.9621353452825689
thornycroft,9,4,0.3182893557811203,4,0.9548680673433608
kermanshah,11,3,0.3160243244155909,4,0.9480729732467728
macquarie,92,33,0.31022728439872915,4,0.9306818531961875
tlaxcala,12,4,0.2312744608775137,5,0.9250978435100548
amalthea,15,4,0.3077160740997446,4,0.9231482222992338
beauchamp,24,12,0.3007864794552824,4,0.9023594383658473
jérôme,36,16,0.2990335431763177,4,0.8971006295289531
kızılırmak,11,7,0.1489292467482989,7,0.8935754804897935
aberdeen,610,65,0.2964188215825344,4,0.8892564647476032
kırıkkale,5,3,0.21828197505520786,5,0.8731279002208314
rajshahi,22,8,0.28892142072898475,4,0.8667642621869542
carcarañá,13,3,0.21554179394093795,5,0.8621671757637518
aerodromes,6,6,0.28648570786247235,4,0.8594571235874171
inhabitants,849,431,0.2855976723976542,4,0.8567930171929626
lamborghini,95,22,0.2830024114765348,4,0.8490072344296045
eriksson,17,8,0.2640265098727747,4,0.7920795296183241
anastasios,31,7,0.2637870758745392,4,0.7913612276236176
verbandsgemeinde,4,4,0.15805451364475906,6,0.7902725682237953
pardubice,22,16,0.26279077482291235,4,0.7883723244687371
ayvacık,8,3,0.2581545713642324,4,0.7744637140926973
catharines,38,9,0.2581126939931232,4,0.7743380819793696
krasnoyarsk,13,9,0.15482053219965453,6,0.7741026609982726
mymensingh,24,12,0.25531431717555847,4,0.7659429515266754
miyazawa,15,4,0.25290524969783,4,0.75871574909349
elazığ,12,5,0.2384155158905965,4,0.7152465476717895
zoetrope,12,3,0.2376205960840062,4,0.7128617882520186
harnoncourt,16,3,0.2355598163636302,4,0.7066794490908905
constituencies,345,148,0.23551740538710136,4,0.706552216161304
matthiessen,10,3,0.2347314410489303,4,0.7041943231467909
toeplitz,12,3,0.23273421932754257,4,0.6982026579826277
dicroglossidae,11,7,0.16894393929614374,5,0.6757757571845749
çaybaşı,7,3,0.1679990527914251,5,0.6719962111657004
zemfira,17,3,0.22240981719527123,4,0.6672294515858137
kazakhstan,179,77,0.2210543818259738,4,0.6631631454779214
