word,freq,doc_freq,tfidf_top_k_mean,token_count,IWF
margibi,9,4,0.8661802095693524,3,1.7323604191387048
liberia,186,96,0.7483977063903857,3,1.4967954127807714
alexander,2707,630,0.6606347226143147,3,1.3212694452286293
lofa,16,8,0.6310597067783635,3,1.262119413556727
cricketers,491,86,0.615923737337246,3,1.231847474674492
newspapers,792,354,0.6063133092576433,3,1.2126266185152865
nebraska,612,113,0.5945094040689204,3,1.1890188081378408
jocky,5,3,0.5763383000461766,3,1.1526766000923532
blankenheim,19,3,0.5425750232049653,3,1.0851500464099306
stanbridge,13,3,1.073475190257973,2,1.073475190257973
andersonville,32,3,0.5343916951384723,3,1.0687833902769446
hormel,34,3,0.5222847955780772,3,1.0445695911561543
bennington,28,14,0.5209627552800468,3,1.0419255105600935
minden,16,8,0.5076621324484034,3,1.0153242648968068
bentall,6,3,0.5045160080442556,3,1.0090320160885111
burdur,19,10,0.4951683297865931,3,0.9903366595731862
lány,15,3,0.4891738551485627,3,0.9783477102971254
düren,42,16,0.4889688582350633,3,0.9779377164701266
chrudim,14,9,0.4661183886796832,3,0.9322367773593664
alfonso,488,78,0.9293308833079088,2,0.9293308833079088
ulubey,13,5,0.4618172082849277,3,0.9236344165698555
lulis,18,3,0.4504329415951429,3,0.9008658831902858
abitibi,21,3,0.44568771350741604,3,0.8913754270148321
swedish,1017,333,0.42720611035952893,3,0.8544122207190579
borken,32,14,0.422765853495925,3,0.84553170699185
bassa,18,10,0.8364840207200487,2,0.8364840207200487
bloomfield,48,19,0.4153738532143505,3,0.830747706428701
moshiri,15,3,0.411333630325636,3,0.822667260651272
village,2202,914,0.40378298974094395,3,0.8075659794818879
bobsleigh,52,14,0.4007259392602106,3,0.8014518785204212
politician,2868,603,0.39897371736212783,3,0.7979474347242557
spafford,12,3,0.3982951228980523,3,0.7965902457961046
huntington,114,55,0.3982340401873971,3,0.7964680803747942
tokat,24,10,0.3978027798844583,3,0.7956055597689166
kru,14,8,0.7905360128090315,2,0.7905360128090315
scantlebury,20,3,0.3946190814241248,3,0.7892381628482495
greeley,32,15,0.39124392332582375,3,0.7824878466516475
quebec,495,181,0.39086576391742645,3,0.7817315278348529
brandenburg,307,63,0.38692797729478395,3,0.7738559545895679
pcgn,81,3,0.3773772504936232,3,0.7547545009872464
bong,43,24,0.7521209970075127,2,0.7521209970075127
antigua,207,33,0.3689017653358374,3,0.7378035306716748
antipope,61,18,0.365656024539767,3,0.731312049079534
bangor,92,21,0.36347323514001567,3,0.7269464702800313
temurah,15,3,0.35642979806985514,3,0.7128595961397103
township,299,127,0.7089149142028986,2,0.7089149142028986
abingdon,34,11,0.3518247801829005,3,0.703649560365801
georgia,1085,334,0.349212391824839,3,0.698424783649678
mexico,1490,516,0.34616010617327947,3,0.6923202123465589
sabha,124,42,0.3459771522416174,3,0.6919543044832348
khulna,26,12,0.345809886893888,3,0.691619773787776
