word,freq,doc_freq,tfidf_top_k_mean,token_count,IWF
enciclopédia,6,6,0.05343205472493494,7,0.3205923283496096
gündoğan,3,3,0.05721283558678567,6,0.28606417793392835
papaligouras,6,3,0.0567966215647721,6,0.2839831078238605
süleymaniye,7,6,0.056791659197573605,6,0.28395829598786804
yıldırım,10,8,0.05466383758096285,6,0.27331918790481424
hematopoietic,10,4,0.05349605658167997,6,0.26748028290839987
reykjavík,29,14,0.05325767294703081,6,0.26628836473515405
περὶ,4,3,0.03282546696091509,9,0.2626037356873207
stratovolcano,7,3,0.049051820808512066,6,0.24525910404256032
témiscamingue,6,4,0.060103736281057724,5,0.2404149451242309
gylfaginning,17,8,0.06006002425551014,5,0.24024009702204055
yağlıdere,13,3,0.060039238710211364,5,0.24015695484084545
wrestlemania,45,7,0.0593349525275003,5,0.2373398101100012
şebinkarahisar,3,3,0.0474530692399339,6,0.2372653461996695
psychopharmacology,4,3,0.047388946669807835,6,0.23694473334903918
toowoomba,21,5,0.05916425537096583,5,0.23665702148386333
gujranwala,7,3,0.058145073415380055,5,0.23258029366152022
göktepe,4,4,0.058082618179643664,5,0.23233047271857465
guruvayoor,8,4,0.05698731796052732,5,0.22794927184210928
bullfrogs,11,4,0.056844401413218226,5,0.2273776056528729
mönchengladbach,12,8,0.045437556404813416,6,0.2271877820240671
gipuzkoa,16,3,0.05654925608439842,5,0.22619702433759367
владимир,3,3,0.020357411224679583,12,0.2239315234714754
károlyi,22,4,0.055291237232585375,5,0.2211649489303415
gökçeli,3,3,0.05484559212581391,5,0.21938236850325565
bayındır,3,3,0.05378271982582258,5,0.2151308793032903
nijmegen,21,16,0.05352297455626479,5,0.21409189822505917
guadalajara,29,19,0.05337620963653045,5,0.2135048385461218
kookaburras,23,14,0.0531486424016148,5,0.2125945696064592
pyxicephalidae,3,3,0.05298591605747973,5,0.21194366422991892
seedskadee,6,3,0.052717996973103726,5,0.2108719878924149
tageszeitung,5,3,0.05271293200883808,5,0.21085172803535232
götterdämmerung,5,4,0.026264508567251654,9,0.21011606853801323
bundesstraße,10,8,0.052431424747076225,5,0.2097256989883049
mahmudiye,5,5,0.052081357644478986,5,0.20832543057791594
novosibirsk,14,9,0.05178662081482495,5,0.2071464832592998
murwillumbah,3,3,0.05171081160698084,5,0.20684324642792337
jawaharlal,13,10,0.050999649086581555,5,0.20399859634632622
hohenzollern,57,18,0.05087191714856926,5,0.20348766859427703
capricornus,25,4,0.05086042394646317,5,0.20344169578585267
guipúzcoa,5,4,0.040679631468031455,6,0.20339815734015726
casablanca,28,25,0.050724639047900325,5,0.2028985561916013
gölbaşı,3,3,0.040315751656667786,6,0.20157875828333893
porthcawl,8,3,0.05023560844519339,5,0.20094243378077356
güzelyurt,3,3,0.05023092444582169,5,0.20092369778328675
yağcılar,5,5,0.050180191392493766,5,0.20072076556997506
sarıkavak,4,4,0.0500532377554581,5,0.2002129510218324
trabajadores,3,3,0.049957815862247595,5,0.19983126344899038
hamengkubuwono,10,3,0.033213936366496936,7,0.1992836181989816
agglomération,10,4,0.04969880138911704,5,0.19879520555646815
cantinflas,3,3,0.04966170841500452,5,0.1986468336600181
pakhtunkhwa,29,13,0.04916302851061656,5,0.19665211404246624
maslennikov,17,5,0.048367867780324945,5,0.19347147112129978
književnosti,4,4,0.03203582092227327,7,0.1922149255336396
reichsstatthalter,10,3,0.03196737259868366,7,0.19180423559210197
hexachloroplatinate,11,3,0.0477255802432226,5,0.1909023209728904
polyurethane,28,8,0.04766644253092131,5,0.19066577012368524
tutankhamun,47,14,0.0476483697362742,5,0.1905934789450968
mahāyāna,44,8,0.04761932977443077,5,0.19047731909772309
troubadour,13,12,0.047241381588926774,5,0.1889655263557071
junagadh,5,3,0.0471336215473149,5,0.1885344861892596
rachmaninoff,12,7,0.047117502616455406,5,0.18847001046582162
kilimanjaro,5,3,0.04685805800016669,5,0.18743223200066675
trøndelag,9,5,0.04673687792481572,5,0.18694751169926288
thermopylae,14,11,0.04643157313493872,5,0.18572629253975487
enchiridion,5,5,0.046158282989506486,5,0.18463313195802594
encyclopaedia,53,47,0.045878207123836764,5,0.18351282849534706
administration,1613,786,0.060933995325540516,4,0.18280198597662156
cryptozoology,56,3,0.060798715436112295,4,0.1823961463083369
akçaköy,3,3,0.06073770362507824,4,0.18221311087523473
sulphur,45,22,0.060736476881413835,4,0.1822094306442415
southeastwardly,3,3,0.06072157835585828,4,0.18216473506757483
antiprisms,36,5,0.06070401763724498,4,0.18211205291173493
fredericton,18,5,0.04550778986610142,5,0.18203115946440568
adjutant,33,19,0.06065855802124478,4,0.18197567406373433
premonstratensian,10,5,0.030321957263723297,7,0.18193174358233977
vojvodina,23,10,0.04543331689178493,5,0.18173326756713973
bydgoszcz,3,3,0.030275730744533175,7,0.18165438446719906
tributaries,164,84,0.060458581630912,4,0.181375744892736
diarrhoea,10,5,0.0453409762834487,5,0.1813639051337948
harpercollins,53,29,0.04530776872516359,5,0.18123107490065435
encryption,141,26,0.06039212872675302,4,0.18117638618025905
dalhousie,16,8,0.060341650837224384,4,0.18102495251167317
glenrothes,11,7,0.06034034049292523,4,0.1810210214787757
çamlık,3,3,0.060321183659226923,4,0.18096355097768077
mountaineer,60,41,0.06020413377069256,4,0.18061240131207768
admiralty,174,39,0.06014503937730224,4,0.1804351181319067
precautionary,10,10,0.060134574354383796,4,0.1804037230631514
orhaniye,6,6,0.060064845213298336,4,0.18019453563989501
macaulay,12,9,0.06002187315835361,4,0.18006561947506083
bumiputra,9,3,0.06001801600220702,4,0.18005404800662106
ludwigshafen,3,3,0.035997809958969514,6,0.17998904979484756
tryptophan,19,11,0.05988676522107278,4,0.17966029566321834
peloponnesian,55,24,0.04491494890016966,5,0.17965979560067863
dubstep,9,3,0.05985302145106918,4,0.17955906435320754
aegisthus,52,5,0.05973397442887165,4,0.17920192328661494
lymphocytes,16,10,0.044752724873646066,5,0.17901089949458426
trigonometric,45,21,0.05965885934169708,4,0.17897657802509126
bhagalpur,3,3,0.04471976433169908,5,0.17887905732679632
multiplication,250,76,0.05959304974229742,4,0.17877914922689225
aleksandr,71,38,0.059563277038564275,4,0.1786898311156928
kavaklı,6,5,0.059541873336885986,4,0.17862562001065796
magdeburg,33,17,0.04457272426711121,5,0.17829089706844484
andreassen,5,3,0.05942140790013248,4,0.17826422370039743
neuromuscular,10,8,0.04456004611953651,5,0.17824018447814605
mckinney,30,10,0.0593778136131641,4,0.17813344083949229
lucasville,5,3,0.05935816678017039,4,0.17807450034051117
jharkhand,13,7,0.059304728327679565,4,0.17791418498303868
turntablist,3,3,0.059198532364451974,4,0.17759559709335593
thermoplastic,38,8,0.059193548970293,4,0.177580646910879
mendocino,4,3,0.059157190919009124,4,0.17747157275702738
martinez,92,47,0.05915543268732517,4,0.1774662980619755
baccalaureate,53,27,0.044364716831932716,5,0.17745886732773086
soğucak,3,3,0.059101386357074404,4,0.1773041590712232
kernighan,48,8,0.05890568437614838,4,0.17671705312844516
sepulchre,37,17,0.044164465202691267,5,0.17665786081076507
nunavut,25,15,0.05883735473447123,4,0.1765120642034137
ijsselstein,7,6,0.058654453221339706,4,0.1759633596640191
cambridgeshire,27,18,0.05865291950011285,4,0.17595875850033854
murrayfield,18,7,0.05863996909834831,4,0.17591990729504492
tetragonal,14,9,0.058630284503655775,4,0.17589085351096734
gunnarsson,8,3,0.05858840830620513,4,0.1757652249186154
capricorni,14,3,0.043924113109276096,5,0.17569645243710438
şeyhler,4,4,0.0585388398267085,4,0.17561651948012552
czechoslovakia,256,75,0.058502855849738876,4,0.17550856754921662
conjugate,108,37,0.05847033311042049,4,0.17541099933126147
kalgoorlie,7,3,0.04384515105921757,5,0.17538060423687027
circumference,76,34,0.05844603045254517,4,0.1753380913576355
krasnodar,7,4,0.04380265323956365,5,0.1752106129582546
seminar,48,36,0.058402599162570026,4,0.1752077974877101
climatology,10,8,0.05832712841614042,4,0.17498138524842127
rafiqul,7,4,0.05829875808823308,4,0.17489627426469923
argonauts,30,16,0.05829700725013174,4,0.17489102175039523
lymphadenopathy,7,3,0.04360230172982604,5,0.17440920691930417
babylonian,259,78,0.05808187063828154,4,0.1742456119148446
osmaniye,7,7,0.05805389245738703,4,0.1741616773721611
rajasthan,39,15,0.057819619405892086,4,0.17345885821767626
südwest,25,7,0.05781534370424322,4,0.17344603111272966
hudhayfah,36,3,0.057801327870185715,4,0.17340398361055714
prefixes,169,31,0.057745540300872256,4,0.17323662090261677
cornerback,28,19,0.05771980493960005,4,0.17315941481880015
hydrocarbon,74,35,0.057686817431958096,4,0.1730604522958743
gabriel,249,151,0.05766615590721129,4,0.17299846772163385
cricinfo,9,9,0.05765883119332056,4,0.1729764935799617
savoie,10,8,0.0576192219250119,4,0.1728576657750357
rhabdodendraceae,3,3,0.02880224664309357,7,0.17281347985856144
thessaloniki,51,29,0.05748474195802901,4,0.17245422587408704
neighbouring,325,235,0.05744058740731785,4,0.17232176222195356
valenzuela,8,4,0.05734025958259532,4,0.17202077874778596
abbotsford,24,7,0.057336854185016904,4,0.1720105625550507
coimbatore,12,3,0.05731929579029108,4,0.17195788737087325
celebrity,278,107,0.05722938194068383,4,0.1716881458220515
momentum,489,95,0.05722415767737608,4,0.17167247303212824
karacaören,8,8,0.05719257386884722,4,0.17157772160654167
electronics,344,188,0.05713271621004083,4,0.17139814863012248
palestinian,172,71,0.05710658969017914,4,0.17131976907053742
yazlık,3,3,0.05707119147915371,4,0.17121357443746113
çarşamba,8,4,0.057016978657571216,4,0.17105093597271365
abstracting,16,11,0.05697204817680797,4,0.17091614453042392
monoclinic,14,8,0.05690843026487916,4,0.1707252907946375
bluffs,26,13,0.05686761871087924,4,0.1706028561326377
tuscarawas,10,3,0.0568503229305499,4,0.17055096879164972
arévalo,11,3,0.05682903302446669,4,0.17048709907340007
administratively,40,37,0.042484095821680015,5,0.16993638328672006
büyükdere,4,3,0.03397965570541184,6,0.1698982785270592
psephos,15,15,0.05654248344243338,4,0.16962745032730014
choudhury,11,4,0.05647587405350149,4,0.16942762216050447
tulasne,4,3,0.056451341649739854,4,0.16935402494921956
puckapunyal,25,4,0.04233581257621335,5,0.1693432503048534
berejiklian,8,4,0.03386854532267477,6,0.16934272661337385
suzanne,57,39,0.05625503444616631,4,0.16876510333849892
heterocycle,5,3,0.056249563380790714,4,0.16874869014237215
dekalb,21,13,0.05608770966177903,4,0.16826312898533707
palazzo,44,21,0.05608091162539525,4,0.16824273487618574
philanthropist,150,104,0.055999297993716904,4,0.16799789398115073
watsonians,7,3,0.055984451437683276,4,0.16795335431304984
sabanci,5,3,0.05593333508459982,4,0.16780000525379946
cumbernauld,10,5,0.05587769417109967,4,0.167633082513299
ʻabdu,170,7,0.05574800083629198,4,0.16724400250887594
osteoporosis,30,12,0.055720761503746476,4,0.16716228451123943
methoxy,4,3,0.055715518043164707,4,0.1671465541294941
özdemir,6,3,0.05567499674258941,4,0.16702499022776823
receipt,28,23,0.0556731385309193,4,0.1670194155927579
tarlabaşı,4,4,0.04174831117102064,5,0.16699324468408255
fairmount,15,8,0.0555972599160607,4,0.1667917797481821
huntsville,73,20,0.05554062254818108,4,0.16662186764454323
amygdalin,38,3,0.05545643469572365,4,0.16636930408717096
earthquake,301,170,0.05544666784125629,4,0.16634000352376888
aleksandrovich,7,7,0.041560996036434844,5,0.16624398414573938
tetrahedra,40,10,0.05537700067139759,4,0.16613100201419279
premierships,27,12,0.05536279335113157,4,0.1660883800533947
semiconductor,143,61,0.0553367809572181,4,0.16601034287165428
contexts,192,147,0.055324522379712936,4,0.1659735671391388
shimizu,20,11,0.055103255703452425,4,0.16530976711035728
microsystems,21,16,0.05507517227948402,4,0.16522551683845205
exploiters,3,3,0.04122184969297775,5,0.164887398771911
aberdeenshire,77,11,0.05495033117789192,4,0.16485099353367577
taipei,45,25,0.05488666921659533,4,0.164660007649786
psychiatrist,104,78,0.05488635037941255,4,0.16465905113823764
pazardzhik,5,3,0.04115799509866163,5,0.16463198039464652
srpska,66,13,0.054789609801937034,4,0.1643688294058111
mcbride,19,17,0.054770834481102114,4,0.16431250344330633
detainees,72,40,0.054744942302740164,4,0.1642348269082205
komnenos,73,25,0.05470701903793398,4,0.16412105711380193
gülpınar,3,3,0.0547062649591859,4,0.1641187948775577
kazimierz,22,13,0.041005305925293015,5,0.16402122370117206
chelyabinsk,9,4,0.0546734038320142,4,0.16402021149604262
basilica,153,75,0.054668104848954416,4,0.16400431454686326
gyeonggi,13,7,0.05465824000818255,4,0.16397472002454766
buddhists,84,42,0.054643981226904136,4,0.1639319436807124
greyhounds,15,9,0.05457852814334789,4,0.16373558443004366
mccurdy,17,7,0.05457653465182551,4,0.16372960395547653
homebrewing,9,4,0.04088598885742699,5,0.16354395542970795
schiaparelli,5,3,0.04084727240333019,5,0.16338908961332077
queanbeyan,16,5,0.05444300655846875,4,0.16332901967540625
hijackers,69,9,0.054438962844670126,4,0.16331688853401038
kidderminster,29,14,0.054355385117840035,4,0.1630661553535201
drogheda,15,8,0.05422232054624885,4,0.16266696163874655
mendelssohn,27,15,0.04059649033352234,5,0.16238596133408936
tashkent,22,17,0.05408099454280606,4,0.16224298362841816
tuskegee,35,12,0.05407408315638201,4,0.16222224946914604
carniolan,22,4,0.05407183992528577,4,0.1622155197758573
welterweight,31,10,0.05406153094402799,4,0.16218459283208397
bucurești,41,15,0.05400164503712244,4,0.16200493511136732
gyeongsang,6,4,0.0539842030588784,4,0.16195260917663518
jurisprudence,56,37,0.04045060390288776,5,0.16180241561155104
işıklar,9,9,0.05390037934051693,4,0.16170113802155078
qurayza,35,5,0.05389107245035414,4,0.16167321735106244
suuwassea,13,3,0.04041405200503815,5,0.1616562080201526
calabresi,4,3,0.05370361367504206,4,0.16111084102512618
dramatists,90,41,0.05367764758370509,4,0.1610329427511153
lacrosse,53,29,0.05365919611668628,4,0.16097758835005882
gruffydd,26,6,0.04022603531008101,5,0.16090414124032404
categoría,15,9,0.05357970241093648,4,0.16073910723280943
honorary,466,253,0.05354541490866534,4,0.16063624472599602
milkshake,54,5,0.05352366857329133,4,0.16057100571987398
cambodian,156,39,0.0535074833121034,4,0.1605224499363102
algemeen,4,4,0.05349307976974267,4,0.16047923930922803
philosopher,701,307,0.05346429615928585,4,0.16039288847785754
