strategy,k,corpus_token_savings,information_weighted_savings,mean_token_count,mean_tfidf
random,100,0.000301,9.5e-05,2.89,0.0148
frequency,100,0.009485,0.00847,1.12,0.0922
tfidf,100,0.00303,0.015705,2.47,0.5114
token_cost,100,0.000182,4.7e-05,6.97,0.0189
IWF,100,0.001884,0.008556,3.65,0.4183
RIF,100,0.002725,0.009309,4.23,0.307
random,500,0.002156,0.001752,2.79,0.0247
frequency,500,0.056229,0.073414,1.468,0.1231
tfidf,500,0.015872,0.054614,2.378,0.3356
token_cost,500,0.000854,0.000193,5.886,0.0171
IWF,500,0.014445,0.04377,3.42,0.2748
RIF,500,0.015836,0.036395,3.932,0.1977
random,1000,0.004297,0.003572,2.759,0.0256
frequency,1000,0.097931,0.123583,1.679,0.1177
tfidf,1000,0.034616,0.095635,2.337,0.2723
token_cost,1000,0.001747,0.000402,5.443,0.0163
IWF,1000,0.027639,0.072007,3.31,0.2267
RIF,1000,0.029319,0.054264,3.814,0.1559
random,5000,0.023258,0.018302,2.762,0.0251
frequency,5000,0.236271,0.251623,2.115,0.0912
tfidf,5000,0.124453,0.20914,2.361,0.146
token_cost,5000,0.012627,0.004164,4.532,0.0156
IWF,5000,0.120725,0.19644,3.098,0.1266
RIF,5000,0.094745,0.106938,3.644,0.0797
random,10000,0.046555,0.037378,2.762,0.0254
frequency,10000,0.295187,0.286528,2.268,0.0744
tfidf,10000,0.198089,0.259553,2.41,0.1051
token_cost,10000,0.028184,0.009253,4.266,0.0153
IWF,10000,0.19073,0.247706,3.026,0.0925
RIF,10000,0.137296,0.129881,3.594,0.0558
